Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
JUN 2017
","
JUN 2017
","

Show Price Chart

",2413.00,+2.00,2411.00,2413.75,2414.25,2412.00,"11,937",2531.50 / 2290.50,19:17:40 CT 31 May 2017
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2410.00,+1.50,2408.50,2411.00,2411.25,2409.50,68,2528.50 / 2287.50,19:13:07 CT 31 May 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",-,-,2405.50,-,-,-,0,2525.50 / 2284.50,18:59:54 CT 31 May 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2403.25,-,-,-,0,2523.50 / 2282.50,18:59:54 CT 31 May 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2404.25,-,-,-,0,2524.50 / 2283.50,18:12:33 CT 31 May 2017
